entry,at,order
"The player ""Matt @ VroTcYA-gK"" quits the game with a stack of 23027.",2025-12-20T09:53:33.071Z,176622441307100
"The player ""Matt @ VroTcYA-gK"" stand up with the stack of 23027.",2025-12-20T09:53:19.418Z,176622439941800
"The player ""sean @ QBFJyJmi22"" stand up with the stack of 3802.",2025-12-20T09:53:13.763Z,176622439376300
"-- ending hand #903 --",2025-12-20T09:53:10.825Z,176622439082502
"""Matt @ VroTcYA-gK"" collected 80 from pot",2025-12-20T09:53:10.825Z,176622439082501
"Uncalled bet of 60 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:53:10.825Z,176622439082500
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:53:10.009Z,176622439000900
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:53:05.996Z,176622438599600
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:53:01.328Z,176622438132805
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:53:01.328Z,176622438132804
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3842) | #9 ""Matt @ VroTcYA-gK"" (22987)",2025-12-20T09:53:01.328Z,176622438132801
"-- starting hand #903 (id: luxsj5z15h7j)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:53:01.328Z,176622438132800
"-- ending hand #902 --",2025-12-20T09:52:58.367Z,176622437836702
"""Matt @ VroTcYA-gK"" collected 40 from pot",2025-12-20T09:52:58.367Z,176622437836701
"Uncalled bet of 20 returned to ""Matt @ VroTcYA-gK""",2025-12-20T09:52:58.367Z,176622437836700
"""sean @ QBFJyJmi22"" folds",2025-12-20T09:52:57.538Z,176622437753800
"""Matt @ VroTcYA-gK"" posts a big blind of 40",2025-12-20T09:52:56.028Z,176622437602805
"""sean @ QBFJyJmi22"" posts a small blind of 20",2025-12-20T09:52:56.028Z,176622437602804
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3862) | #9 ""Matt @ VroTcYA-gK"" (22967)",2025-12-20T09:52:56.028Z,176622437602801
"-- starting hand #902 (id: 6yrsuc35iw6g)  (No Limit Texas Hold'em) (dealer: ""sean @ QBFJyJmi22"") --",2025-12-20T09:52:56.028Z,176622437602800
"-- ending hand #901 --",2025-12-20T09:52:53.126Z,176622437312602
"""sean @ QBFJyJmi22"" collected 200 from pot",2025-12-20T09:52:53.126Z,176622437312601
"Uncalled bet of 250 returned to ""sean @ QBFJyJmi22""",2025-12-20T09:52:53.126Z,176622437312600
"""Matt @ VroTcYA-gK"" folds",2025-12-20T09:52:52.303Z,176622437230300
"""sean @ QBFJyJmi22"" raises to 350",2025-12-20T09:52:50.271Z,176622437027100
"""Matt @ VroTcYA-gK"" raises to 100",2025-12-20T09:52:47.060Z,176622436706000
"""sean @ QBFJyJmi22"" posts a big blind of 40",2025-12-20T09:52:42.019Z,176622436201905
"""Matt @ VroTcYA-gK"" posts a small blind of 20",2025-12-20T09:52:42.019Z,176622436201904
"Player stacks: #4 ""sean @ QBFJyJmi22"" (3762) | #9 ""Matt @ VroTcYA-gK"" (23067)",2025-12-20T09:52:42.019Z,176622436201901
"-- starting hand #901 (id: bcq078pwhe2t)  (No Limit Texas Hold'em) (dealer: ""Matt @ VroTcYA-gK"") --",2025-12-20T09:52:42.019Z,176622436201900
"-- ending hand #900 --",2025-12-20T09:52:39.100Z,176622435910002
